path,project_name,github_url
data/awesome/cpp-rotor,cpp-rotor,https://github.com/basiliscos/cpp-rotor
data/awesome/CppServer,CppServer,https://github.com/chronoxor/CppServer
data/awesome/CppSharp,CppSharp,https://github.com/mono/CppSharp
data/awesome/cpp-sort,cpp-sort,https://github.com/ryanmjacobs/c
data/awesome/cpp-terminal,cpp-terminal,https://github.com/jupyter-xeus/cpp-terminal
data/awesome/cpp-TimSort,cpp-TimSort,https://github.com/gfx/cpp-TimSort
data/awesome/cpptrace,cpptrace,https://github.com/jeremy-rifkin/cpptrace
data/awesome/cpputest,cpputest,https://github.com/cpputest/cpputest
data/awesome/CppVerbalExpressions,CppVerbalExpressions,https://github.com/VerbalExpressions/CppVerbalExpressions
data/awesome/cpr,cpr,https://github.com/whoshuu/cpr
data/awesome/cquery,cquery,https://github.com/cquery-project/cquery
data/awesome/CRCpp,CRCpp,https://github.com/d-bahr/CRCpp
data/awesome/Crow,Crow,https://github.com/CrowCpp/Crow
data/awesome/crown,crown,https://github.com/dbartolini/crown
data/awesome/cryptopp,cryptopp,https://github.com/weidai11/cryptopp
data/awesome/CSerialPort,CSerialPort,https://github.com/itas109/CSerialPort
data/awesome/cspice,cspice,https://github.com/arturania/cspice
data/awesome/csv2,csv2,https://github.com/p-ranav/csv2
data/awesome/csv-parser,csv-parser,https://github.com/vincentlaucsb/csv-parser
data/awesome/ctypes.sh,ctypes.sh,https://github.com/taviso/ctypes.sh
data/awesome/cub,cub,https://github.com/NVlabs/cub
data/awesome/cuda-api-wrappers,cuda-api-wrappers,https://github.com/eyalroz/cuda-api-wrappers
data/awesome/cupla,cupla,https://github.com/ComputationalRadiationPhysics/cupla
data/awesome/curlcpp,curlcpp,https://github.com/JosephP91/curlcpp
data/awesome/cutelyst,cutelyst,https://github.com/cutelyst/cutelyst
data/awesome/CXXGraph,CXXGraph,https://github.com/ZigRazor/CXXGraph
data/awesome/cxxopts,cxxopts,https://github.com/jarro2783/cxxopts
data/awesome/cython,cython,https://github.com/cython/cython
data/awesome/darknet,darknet,https://github.com/pjreddie/darknet
data/awesome/date,date,https://github.com/HowardHinnant/date
data/awesome/daw_json_link,daw_json_link,https://github.com/beached/daw_json_link
data/awesome/dbg-macro,dbg-macro,https://github.com/sharkdp/dbg-macro
data/awesome/DebugViewPP,DebugViewPP,https://github.com/CobaltFusion/DebugViewPP
data/awesome/dht,dht,https://github.com/jech/dht
data/awesome/DiligentEngine,DiligentEngine,https://github.com/DiligentGraphics/DiligentEngine
data/awesome/DirectXMath,DirectXMath,https://github.com/microsoft/DirectXMath
data/awesome/DirectXTK,DirectXTK,https://github.com/Microsoft/DirectXTK
data/awesome/dlib,dlib,https://github.com/davisking/dlib
data/awesome/docopt.cpp,docopt.cpp,https://github.com/docopt/docopt.cpp
data/awesome/doctest,doctest,https://github.com/onqtam/doctest
data/awesome/doxide,doxide,https://github.com/lawmurray/doxide
data/awesome/doxygen,doxygen,https://github.com/doxygen/doxygen
data/awesome/doxyrest,doxyrest,https://github.com/vovkos/doxyrest
data/awesome/dpdk,dpdk,https://github.com/DPDK/dpdk
data/awesome/DPP,DPP,https://github.com/brainboxdotcc/DPP
data/awesome/drogon,drogon,https://github.com/an-tao/drogon
data/awesome/DSPFilters,DSPFilters,https://github.com/vinniefalco/DSPFilters
data/awesome/DuckX,DuckX,https://github.com/amiremohamadi/DuckX
data/awesome/duktape,duktape,https://github.com/svaarala/duktape
data/awesome/dynamic_bitset,dynamic_bitset,https://github.com/pinam45/dynamic_bitset
data/awesome/dynamix,dynamix,https://github.com/iboB/dynamix
data/awesome/EASTL,EASTL,https://github.com/electronicarts/EASTL
data/awesome/easyloggingpp,easyloggingpp,https://github.com/amrayn/easyloggingpp
data/awesome/easy_reflection_cpp,easy_reflection_cpp,https://github.com/chocolacula/easy_reflection_cpp
data/awesome/ecal,ecal,https://github.com/continental/ecal
data/awesome/emio,emio,https://github.com/Viatorus/emio
data/awesome/enet,enet,https://github.com/lsalzman/enet
data/awesome/etl,etl,https://github.com/ETLCPP/etl
data/awesome/evpp,evpp,https://github.com/Qihoo360/evpp
data/awesome/ezEngine,ezEngine,https://github.com/ezEngine/ezEngine
data/awesome/faiss,faiss,https://github.com/facebookresearch/faiss
data/awesome/FakeIt,FakeIt,https://github.com/eranpeer/FakeIt
data/awesome/faker-cxx,faker-cxx,https://github.com/cieslarmichal/faker-cxx
data/awesome/FastBinaryEncoding,FastBinaryEncoding,https://github.com/chronoxor/FastBinaryEncoding
data/awesome/fast_io,fast_io,https://github.com/cppfastio/fast_io
data/awesome/fccf,fccf,https://github.com/p-ranav/fccf
data/awesome/ffead-cpp,ffead-cpp,https://github.com/sumeetchhetri/ffead-cpp
data/awesome/fff,fff,https://github.com/meekrosoft/fff
data/awesome/FiberTaskingLib,FiberTaskingLib,https://github.com/RichieSams/FiberTaskingLib
data/awesome/Fido,Fido,https://github.com/FidoProject/Fido
data/awesome/finalcut,finalcut,https://github.com/gansm/finalcut
data/awesome/FiniteStateEntropy,FiniteStateEntropy,https://github.com/Cyan4973/FiniteStateEntropy
data/awesome/fixed-containers,fixed-containers,https://github.com/teslamotors/fixed-containers
data/awesome/flashlight,flashlight,https://github.com/facebookresearch/flashlight
data/awesome/flatbuffers,flatbuffers,https://github.com/google/flatbuffers
data/awesome/fmt,fmt,https://github.com/fmtlib/fmt
data/awesome/fmtlog,fmtlog,https://github.com/MengRao/fmtlog
data/awesome/folly,folly,https://github.com/facebook/folly
data/awesome/fpng,fpng,https://github.com/richgel999/fpng
data/awesome/frozen,frozen,https://github.com/cesanta/frozen
data/awesome/frugally-deep,frugally-deep,https://github.com/Dobiasd/frugally-deep
data/awesome/ftpclient-cpp,ftpclient-cpp,https://github.com/embeddedmz/ftpclient-cpp
data/awesome/FTXUI,FTXUI,https://github.com/ArthurSonzogni/FTXUI
data/awesome/FunctionalPlus,FunctionalPlus,https://github.com/Dobiasd/FunctionalPlus
